age,capital-gain,capital-loss,hours-per-week,income,new_workclass,new_education,new_marital_status,new_occupation
53,0,0,40,<=50K,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty
24,0,0,50,<=50K,Private,Bachelors,Married-civ-spouse,Tech-support
49,0,0,40,<=50K,Private,HS-grad,Separated,Adm-clerical
25,0,0,35,<=50K,Private,HS-grad,Never-married,Handlers-cleaners
57,0,0,40,>50K,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty
53,0,0,38,<=50K,Private,HS-grad,Married-civ-spouse,Machine-op-inspct
44,0,0,40,<=50K,Private,Masters,Divorced,Exec-managerial
41,0,0,40,<=50K,State-gov,Assoc-voc,Married-civ-spouse,Craft-repair
29,0,0,43,<=50K,Private,Assoc-voc,Never-married,Prof-specialty
25,0,0,40,<=50K,Private,Some-college,Married-civ-spouse,Exec-managerial
18,0,0,30,<=50K,Private,HS-grad,Never-married,Other-service
47,0,1902,60,>50K,Private,Prof-school,Married-civ-spouse,Prof-specialty
50,0,0,55,>50K,Federal-gov,Bachelors,Divorced,Exec-managerial
47,0,0,60,<=50K,Self-emp-inc,HS-grad,Divorced,Exec-managerial
43,0,0,40,>50K,Private,Some-college,Married-civ-spouse,Tech-support
46,0,0,40,<=50K,Private,5th-6th,Married-civ-spouse,Machine-op-inspct
35,0,0,40,<=50K,Private,Assoc-voc,Married-civ-spouse,Other-service
41,0,0,48,<=50K,Private,HS-grad,Married-civ-spouse,Adm-clerical
30,5013,0,40,<=50K,Private,HS-grad,Married-civ-spouse,Machine-op-inspct
30,2407,0,40,<=50K,Private,Bachelors,Married-civ-spouse,Sales
32,0,0,40,<=50K,Private,7th-8th,Married-spouse-absent,Prof-specialty
48,0,0,40,<=50K,Private,HS-grad,Married-civ-spouse,Transport-moving
42,0,0,45,>50K,Private,Doctorate,Married-civ-spouse,Prof-specialty
29,0,0,58,<=50K,Private,Some-college,Divorced,Tech-support
36,0,0,40,<=50K,Private,HS-grad,Married-civ-spouse,Craft-repair
28,0,0,40,<=50K,Private,Some-college,Divorced,Adm-clerical
53,0,0,40,>50K,Private,HS-grad,Married-civ-spouse,Adm-clerical
49,0,0,50,>50K,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial
25,0,0,40,<=50K,Private,Some-college,Never-married,Prof-specialty
19,0,0,32,<=50K,Private,Some-college,Never-married,Prof-specialty
31,0,0,40,<=50K,Private,Bachelors,Separated,Sales
29,0,0,70,>50K,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales
23,0,0,40,<=50K,Private,Some-college,Never-married,Machine-op-inspct
79,0,0,20,<=50K,Private,Some-college,Married-civ-spouse,Prof-specialty
27,0,0,40,<=50K,Private,HS-grad,Never-married,Other-service
40,0,0,40,<=50K,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical
67,0,0,2,<=50K,Private,10th,Married-civ-spouse,Prof-specialty
18,0,0,22,<=50K,Private,11th,Never-married,Other-service
31,0,0,40,<=50K,Local-gov,7th-8th,Married-civ-spouse,Farming-fishing
18,0,0,30,<=50K,Private,HS-grad,Never-married,Sales
52,0,0,40,<=50K,Private,Bachelors,Married-civ-spouse,Other-service
46,0,0,40,<=50K,Private,HS-grad,Married-civ-spouse,Other-service
59,0,0,48,<=50K,Private,HS-grad,Married-civ-spouse,Sales
44,14344,0,40,>50K,Private,HS-grad,Divorced,Craft-repair
53,0,0,35,<=50K,Private,HS-grad,Divorced,Sales
49,0,0,40,>50K,Local-gov,HS-grad,Married-civ-spouse,Protective-serv
33,0,0,50,<=50K,Private,Masters,Married-civ-spouse,Prof-specialty
30,0,0,40,<=50K,Private,9th,Never-married,Sales
43,0,0,50,>50K,Federal-gov,Doctorate,Never-married,Prof-specialty
57,0,0,40,<=50K,Private,Assoc-voc,Married-civ-spouse,Prof-specialty
37,0,0,40,<=50K,Private,Some-college,Divorced,Craft-repair
28,0,0,25,<=50K,Private,Some-college,Divorced,Machine-op-inspct
30,0,1573,35,<=50K,Private,HS-grad,Married-civ-spouse,Sales
34,0,0,40,>50K,Local-gov,Bachelors,Married-civ-spouse,Protective-serv
29,0,0,50,<=50K,Local-gov,Some-college,Never-married,Handlers-cleaners
48,0,1902,60,>50K,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty
37,0,0,48,>50K,Private,Some-college,Married-civ-spouse,Sales
48,0,0,40,<=50K,Private,Assoc-acdm,Divorced,Exec-managerial
32,0,0,40,<=50K,Federal-gov,HS-grad,Never-married,Other-service
76,0,0,40,>50K,Private,Masters,Married-civ-spouse,Exec-managerial
44,15024,0,60,>50K,Private,Bachelors,Married-civ-spouse,Exec-managerial
47,0,0,50,<=50K,Self-emp-not-inc,Masters,Never-married,Prof-specialty
20,0,0,40,<=50K,Private,Some-college,Never-married,Tech-support
29,0,0,40,<=50K,Private,HS-grad,Never-married,Craft-repair
32,7688,0,40,>50K,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair
17,34095,0,32,<=50K,Private,10th,Never-married,Prof-specialty
30,0,0,40,<=50K,Private,11th,Never-married,Handlers-cleaners
31,0,0,40,<=50K,Local-gov,HS-grad,Never-married,Adm-clerical
42,0,0,40,<=50K,Private,HS-grad,Married-civ-spouse,Handlers-cleaners
24,0,0,40,<=50K,Private,Bachelors,Never-married,Sales
38,0,0,40,>50K,Private,Prof-school,Married-civ-spouse,Prof-specialty
56,0,1887,50,>50K,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service
28,4064,0,25,<=50K,Private,Some-college,Married-civ-spouse,Sales
36,0,0,40,<=50K,Private,HS-grad,Never-married,Machine-op-inspct
53,0,0,50,<=50K,Private,9th,Married-civ-spouse,Handlers-cleaners
56,0,0,50,<=50K,Self-emp-inc,Some-college,Married-civ-spouse,Sales
49,0,0,40,>50K,Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair
55,0,0,56,<=50K,Private,Some-college,Married-civ-spouse,Sales
22,0,0,41,<=50K,Private,HS-grad,Never-married,Craft-repair
21,0,0,40,<=50K,Private,Some-college,Never-married,Other-service
40,0,0,60,<=50K,Private,Bachelors,Married-civ-spouse,Exec-managerial
30,0,0,40,<=50K,Private,Bachelors,Never-married,Exec-managerial
29,0,0,50,>50K,State-gov,Bachelors,Married-civ-spouse,Prof-specialty
19,0,0,35,<=50K,Private,Some-college,Never-married,Other-service
47,0,0,40,>50K,Private,Bachelors,Married-civ-spouse,Exec-managerial
20,0,1719,28,<=50K,Private,Some-college,Never-married,Adm-clerical
31,0,0,40,>50K,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical
35,0,0,40,<=50K,Private,HS-grad,Married-civ-spouse,Prof-specialty
39,0,0,40,<=50K,Private,Some-college,Divorced,Craft-repair
28,0,0,60,<=50K,Private,Assoc-acdm,Never-married,Sales
24,0,1762,40,<=50K,Private,HS-grad,Never-married,Other-service
38,4386,0,35,<=50K,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair
37,0,0,50,<=50K,Private,Bachelors,Married-civ-spouse,Sales
46,0,0,36,<=50K,Private,Assoc-acdm,Divorced,Tech-support
38,0,0,40,>50K,Federal-gov,Masters,Married-civ-spouse,Prof-specialty
43,0,0,60,<=50K,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair
27,0,0,35,<=50K,Private,Assoc-voc,Married-civ-spouse,Adm-clerical
20,0,0,20,<=50K,Private,Some-college,Never-married,Sales
49,0,0,40,>50K,Private,Some-college,Married-civ-spouse,Craft-repair
61,0,0,40,<=50K,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair
27,0,0,40,<=50K,Private,Some-college,Never-married,Sales
19,0,0,30,<=50K,Private,Some-college,Never-married,Other-service
45,0,1564,40,>50K,Private,Assoc-voc,Never-married,Prof-specialty
70,0,0,40,<=50K,Private,Some-college,Never-married,Tech-support
31,0,0,30,<=50K,Private,HS-grad,Never-married,Transport-moving
22,0,0,24,<=50K,Private,Some-college,Married-civ-spouse,Other-service
36,0,0,24,<=50K,Private,HS-grad,Widowed,Other-service
64,0,2179,40,<=50K,Private,11th,Married-civ-spouse,Craft-repair
43,0,0,40,<=50K,Private,Some-college,Divorced,Prof-specialty
47,0,0,38,<=50K,Local-gov,Some-college,Divorced,Adm-clerical
34,0,0,40,<=50K,Private,HS-grad,Never-married,Adm-clerical
33,0,0,40,<=50K,Private,Bachelors,Never-married,Exec-managerial
21,0,0,35,<=50K,Private,HS-grad,Never-married,Craft-repair
52,0,0,45,>50K,Private,HS-grad,Divorced,Prof-specialty
48,0,0,46,<=50K,Private,HS-grad,Married-civ-spouse,Craft-repair
23,0,0,40,<=50K,Private,Bachelors,Never-married,Handlers-cleaners
71,0,1816,2,<=50K,Self-emp-not-inc,Some-college,Separated,Sales
29,0,0,60,<=50K,Private,HS-grad,Divorced,Craft-repair
42,0,0,50,<=50K,Private,Bachelors,Separated,Other-service
68,0,0,20,<=50K,Private,1st-4th,Divorced,Prof-specialty
25,0,0,40,<=50K,Private,HS-grad,Never-married,Other-service
44,0,0,40,<=50K,Self-emp-inc,Masters,Divorced,Exec-managerial
28,0,0,40,<=50K,Private,HS-grad,Never-married,Exec-managerial
45,0,0,40,>50K,Self-emp-not-inc,Masters,Married-civ-spouse,Sales
36,0,0,40,<=50K,Private,Some-college,Divorced,Other-service
39,0,0,42,<=50K,Federal-gov,Assoc-acdm,Never-married,Exec-managerial
46,0,0,40,<=50K,State-gov,Masters,Widowed,Protective-serv
18,0,0,16,<=50K,Private,11th,Never-married,Handlers-cleaners
66,0,0,20,<=50K,Local-gov,Assoc-voc,Widowed,Prof-specialty
27,0,1980,40,<=50K,Private,HS-grad,Never-married,Other-service
28,0,0,40,<=50K,State-gov,HS-grad,Married-civ-spouse,Protective-serv
51,0,1977,40,>50K,Private,Some-college,Married-civ-spouse,Sales
27,0,0,50,<=50K,Private,Bachelors,Never-married,Craft-repair
28,0,0,40,>50K,State-gov,Bachelors,Married-civ-spouse,Prof-specialty
27,0,0,25,<=50K,Private,HS-grad,Married-spouse-absent,Sales
21,0,0,40,<=50K,Private,HS-grad,Never-married,Craft-repair
34,0,0,40,<=50K,Private,HS-grad,Never-married,Handlers-cleaners
18,0,0,12,<=50K,Private,HS-grad,Never-married,Other-service
33,0,0,65,<=50K,Private,Bachelors,Married-civ-spouse,Prof-specialty
44,0,0,38,>50K,Local-gov,Some-college,Married-civ-spouse,Exec-managerial
43,0,0,40,<=50K,Private,Some-college,Divorced,Adm-clerical
30,0,0,45,<=50K,Private,Some-college,Never-married,Craft-repair
40,0,0,40,>50K,Private,7th-8th,Married-civ-spouse,Machine-op-inspct
37,0,0,42,>50K,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical
34,0,0,40,<=50K,Private,HS-grad,Married-civ-spouse,Adm-clerical
41,0,0,40,<=50K,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial
53,0,0,50,<=50K,Private,Bachelors,Divorced,Prof-specialty
31,0,0,50,<=50K,Private,Masters,Married-civ-spouse,Prof-specialty
58,0,0,1,>50K,State-gov,Doctorate,Married-civ-spouse,Prof-specialty
38,0,0,28,<=50K,Private,Some-college,Divorced,Machine-op-inspct
24,0,0,40,<=50K,Private,Some-college,Married-civ-spouse,Machine-op-inspct
41,0,0,40,<=50K,Local-gov,Bachelors,Married-civ-spouse,Craft-repair
47,0,0,45,<=50K,Private,Some-college,Married-civ-spouse,Tech-support
41,0,0,24,<=50K,Federal-gov,Bachelors,Married-civ-spouse,Tech-support
23,0,0,40,<=50K,Private,5th-6th,Married-civ-spouse,Transport-moving
36,0,0,40,<=50K,Private,Some-college,Divorced,Craft-repair
40,14084,0,55,>50K,Federal-gov,Masters,Never-married,Exec-managerial
35,7298,0,40,>50K,Private,Masters,Married-civ-spouse,Prof-specialty
24,0,0,40,<=50K,Self-emp-not-inc,HS-grad,Never-married,Sales
26,0,1876,40,<=50K,Private,Masters,Never-married,Prof-specialty
19,0,0,40,<=50K,Private,HS-grad,Never-married,Prof-specialty
51,0,0,50,>50K,Private,Bachelors,Married-civ-spouse,Exec-managerial
42,0,1340,40,<=50K,Local-gov,Some-college,Never-married,Prof-specialty
37,0,0,35,<=50K,State-gov,HS-grad,Divorced,Adm-clerical
18,0,0,40,<=50K,Private,11th,Never-married,Sales
36,7298,0,36,>50K,Private,Bachelors,Married-civ-spouse,Other-service
35,0,0,60,<=50K,Private,HS-grad,Divorced,Craft-repair
58,15024,0,35,>50K,Self-emp-inc,HS-grad,Married-civ-spouse,Sales
17,0,0,12,<=50K,Private,11th,Never-married,Sales
44,0,0,40,<=50K,Local-gov,HS-grad,Married-civ-spouse,Transport-moving
37,0,0,40,>50K,Private,HS-grad,Married-civ-spouse,Craft-repair
35,0,0,40,<=50K,Private,Some-college,Never-married,Sales
60,0,0,40,<=50K,Private,HS-grad,Married-civ-spouse,Craft-repair
54,0,0,40,>50K,Self-emp-inc,7th-8th,Married-civ-spouse,Machine-op-inspct
37,0,0,60,>50K,Private,Bachelors,Never-married,Exec-managerial
50,0,0,40,<=50K,Private,Assoc-acdm,Divorced,Sales
38,0,0,50,<=50K,Private,Bachelors,Married-civ-spouse,Sales
45,0,0,55,<=50K,Private,Bachelors,Married-civ-spouse,Prof-specialty
25,0,0,40,<=50K,Private,10th,Never-married,Craft-repair
31,0,0,40,<=50K,Private,Some-college,Married-civ-spouse,Handlers-cleaners
64,0,0,40,<=50K,Private,1st-4th,Divorced,Prof-specialty
90,0,2206,40,<=50K,Private,HS-grad,Never-married,Other-service
54,0,0,20,<=50K,Private,HS-grad,Married-civ-spouse,Adm-clerical
53,0,0,35,<=50K,Local-gov,Preschool,Never-married,Machine-op-inspct
18,0,0,40,<=50K,Private,HS-grad,Never-married,Sales
60,0,0,10,<=50K,Private,10th,Divorced,Prof-specialty
66,1409,0,50,<=50K,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing
75,0,0,20,<=50K,Private,Assoc-voc,Widowed,Adm-clerical
65,0,0,40,<=50K,Private,HS-grad,Divorced,Adm-clerical
35,3674,0,40,<=50K,Private,11th,Separated,Transport-moving
41,0,0,38,<=50K,Private,HS-grad,Divorced,Sales
25,0,0,42,<=50K,Private,Some-college,Never-married,Adm-clerical
33,0,0,40,<=50K,Private,Some-college,Divorced,Craft-repair
28,0,0,55,>50K,Private,Prof-school,Never-married,Prof-specialty
59,0,0,40,<=50K,State-gov,HS-grad,Married-civ-spouse,Other-service
40,0,0,38,<=50K,State-gov,Some-college,Never-married,Adm-clerical
41,0,0,50,>50K,Private,Bachelors,Married-civ-spouse,Exec-managerial
38,0,0,70,>50K,Local-gov,Masters,Married-civ-spouse,Exec-managerial
23,0,0,40,<=50K,Private,HS-grad,Never-married,Transport-moving
40,0,0,40,>50K,Private,Bachelors,Married-civ-spouse,Prof-specialty
41,0,0,20,<=50K,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service
24,0,0,50,<=50K,State-gov,Assoc-acdm,Married-civ-spouse,Protective-serv
20,0,0,20,<=50K,Private,Some-college,Never-married,Prof-specialty
38,0,1741,40,<=50K,Private,Some-college,Divorced,Craft-repair
56,0,0,35,<=50K,Private,HS-grad,Married-civ-spouse,Adm-clerical
58,0,0,45,>50K,Private,HS-grad,Married-civ-spouse,Adm-clerical
32,0,0,34,<=50K,Private,HS-grad,Never-married,Other-service
40,0,1977,60,>50K,Private,Assoc-acdm,Married-civ-spouse,Tech-support
45,0,0,40,<=50K,Private,HS-grad,Married-civ-spouse,Adm-clerical
41,0,0,40,>50K,Private,Prof-school,Married-civ-spouse,Prof-specialty
42,0,0,40,<=50K,Private,Bachelors,Married-civ-spouse,Adm-clerical
59,0,0,30,<=50K,Local-gov,10th,Widowed,Other-service
19,0,0,40,<=50K,Local-gov,Some-college,Never-married,Adm-clerical
58,0,0,20,<=50K,Private,Some-college,Never-married,Transport-moving
42,0,0,40,>50K,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing
20,0,0,40,<=50K,Private,HS-grad,Never-married,Other-service
32,0,0,30,<=50K,Private,HS-grad,Separated,Other-service
45,0,0,45,<=50K,Private,Assoc-voc,Widowed,Exec-managerial
50,0,0,40,<=50K,Private,7th-8th,Divorced,Craft-repair
36,0,0,40,<=50K,Private,Bachelors,Divorced,Prof-specialty
45,0,0,60,<=50K,Private,HS-grad,Married-civ-spouse,Sales
17,0,0,12,<=50K,Private,11th,Never-married,Other-service
59,4064,0,40,<=50K,Private,Some-college,Married-civ-spouse,Sales
26,0,0,40,<=50K,Private,11th,Married-civ-spouse,Craft-repair
37,0,0,75,>50K,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial
19,0,0,24,<=50K,Private,Some-college,Never-married,Prof-specialty
64,0,0,40,>50K,Private,HS-grad,Married-civ-spouse,Exec-managerial
33,0,0,45,<=50K,Private,Bachelors,Never-married,Prof-specialty
33,0,0,40,>50K,Private,HS-grad,Married-civ-spouse,Craft-repair
61,0,0,40,>50K,Private,HS-grad,Married-civ-spouse,Exec-managerial
17,1055,0,24,<=50K,Private,9th,Never-married,Other-service
50,2407,0,98,<=50K,Self-emp-not-inc,Masters,Married-civ-spouse,Farming-fishing
27,0,0,35,<=50K,Local-gov,Masters,Never-married,Prof-specialty
30,0,0,40,<=50K,Private,HS-grad,Divorced,Prof-specialty
43,0,0,40,<=50K,Private,HS-grad,Married-civ-spouse,Handlers-cleaners
44,7298,0,40,>50K,Private,Some-college,Married-civ-spouse,Craft-repair
35,0,0,40,<=50K,Private,Some-college,Never-married,Exec-managerial
25,0,0,40,<=50K,Private,Some-college,Never-married,Tech-support
24,7298,0,48,>50K,Private,Some-college,Married-civ-spouse,Machine-op-inspct
22,0,0,15,<=50K,Private,Bachelors,Never-married,Prof-specialty
42,5178,0,40,>50K,Local-gov,Some-college,Married-civ-spouse,Craft-repair
34,0,0,45,<=50K,Private,Assoc-acdm,Divorced,Sales
60,0,0,42,<=50K,Private,Bachelors,Divorced,Prof-specialty
21,0,0,40,<=50K,Private,HS-grad,Never-married,Handlers-cleaners
57,15024,0,40,>50K,Federal-gov,Masters,Married-civ-spouse,Sales
41,0,0,60,>50K,Private,Prof-school,Married-civ-spouse,Prof-specialty
50,0,0,45,<=50K,Private,Some-college,Divorced,Other-service
25,0,0,40,<=50K,Private,Bachelors,Never-married,Exec-managerial
50,0,0,40,<=50K,Private,7th-8th,Married-civ-spouse,Craft-repair
36,0,0,45,<=50K,Private,Bachelors,Married-civ-spouse,Prof-specialty
31,0,0,40,<=50K,Private,HS-grad,Divorced,Prof-specialty
29,0,0,56,<=50K,Local-gov,Bachelors,Never-married,Protective-serv
21,0,0,45,<=50K,Private,Some-college,Never-married,Sales
27,0,0,40,<=50K,Private,Bachelors,Never-married,Tech-support
65,0,0,16,<=50K,Private,HS-grad,Married-civ-spouse,Transport-moving
37,0,0,60,<=50K,Self-emp-inc,Bachelors,Divorced,Sales
39,3464,0,40,<=50K,Private,Masters,Married-civ-spouse,Prof-specialty
24,0,0,40,<=50K,Private,HS-grad,Never-married,Craft-repair
38,0,0,80,<=50K,Private,HS-grad,Divorced,Sales
48,7688,0,40,>50K,Private,Bachelors,Married-civ-spouse,Adm-clerical
21,0,0,25,<=50K,Private,Some-college,Never-married,Other-service
31,0,0,45,>50K,Private,HS-grad,Married-civ-spouse,Transport-moving
55,4386,0,40,>50K,Private,HS-grad,Married-civ-spouse,Sales
24,0,0,40,<=50K,Private,Some-college,Married-civ-spouse,Adm-clerical
43,0,0,40,<=50K,Private,HS-grad,Divorced,Adm-clerical
26,0,0,45,<=50K,Private,Assoc-acdm,Never-married,Tech-support
46,0,0,33,<=50K,Private,Assoc-acdm,Never-married,Prof-specialty
35,0,0,40,>50K,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical
41,0,0,54,>50K,Self-emp-inc,Some-college,Married-civ-spouse,Farming-fishing
26,0,0,40,<=50K,Private,Bachelors,Never-married,Sales
34,7298,0,35,>50K,Private,Masters,Married-civ-spouse,Exec-managerial
19,0,0,25,<=50K,Private,Some-college,Never-married,Prof-specialty
36,0,0,40,>50K,Self-emp-not-inc,Bachelors,Divorced,Prof-specialty
22,0,0,15,<=50K,Private,Some-college,Never-married,Sales
24,0,0,40,<=50K,Private,Some-college,Never-married,Machine-op-inspct
77,0,0,40,<=50K,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales
22,0,0,40,<=50K,Private,5th-6th,Married-civ-spouse,Machine-op-inspct
29,0,0,40,<=50K,Private,Some-college,Never-married,Tech-support
62,0,0,24,<=50K,Private,HS-grad,Widowed,Other-service
39,0,0,40,<=50K,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial
43,0,1485,50,<=50K,Private,Some-college,Married-civ-spouse,Craft-repair
35,0,0,45,<=50K,Private,HS-grad,Divorced,Transport-moving
29,0,0,40,<=50K,Private,11th,Never-married,Exec-managerial
76,0,0,10,<=50K,Self-emp-not-inc,Masters,Married-civ-spouse,Craft-repair
63,0,0,45,<=50K,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing
23,0,0,15,<=50K,Private,Assoc-voc,Never-married,Prof-specialty
43,0,1887,50,>50K,Private,Some-college,Married-civ-spouse,Prof-specialty
58,0,0,40,<=50K,Self-emp-not-inc,HS-grad,Married-civ-spouse,Handlers-cleaners
66,2050,0,55,<=50K,Private,HS-grad,Never-married,Transport-moving
41,0,0,45,<=50K,Private,Some-college,Never-married,Craft-repair
26,0,0,40,<=50K,Private,Bachelors,Never-married,Adm-clerical
47,0,0,40,<=50K,Private,Assoc-voc,Never-married,Other-service
55,0,0,40,<=50K,Local-gov,10th,Married-civ-spouse,Adm-clerical
53,0,0,40,<=50K,Private,HS-grad,Married-civ-spouse,Transport-moving
17,0,0,48,<=50K,Private,5th-6th,Never-married,Other-service
30,0,0,40,<=50K,Private,HS-grad,Never-married,Craft-repair
49,0,0,60,<=50K,Private,Masters,Never-married,Prof-specialty
19,0,0,30,<=50K,Private,HS-grad,Never-married,Sales
45,0,0,40,<=50K,Private,HS-grad,Married-civ-spouse,Other-service
26,0,0,40,<=50K,Private,Assoc-acdm,Never-married,Sales
38,7298,0,40,>50K,Private,Assoc-voc,Married-civ-spouse,Craft-repair
36,7298,0,40,>50K,State-gov,HS-grad,Married-civ-spouse,Protective-serv
33,0,0,20,<=50K,Private,HS-grad,Never-married,Farming-fishing
22,0,0,40,<=50K,State-gov,Some-college,Never-married,Protective-serv
43,0,0,42,<=50K,Self-emp-not-inc,Bachelors,Never-married,Sales
67,0,0,8,<=50K,Private,11th,Married-civ-spouse,Prof-specialty
30,0,0,40,<=50K,Private,Assoc-voc,Divorced,Prof-specialty
56,0,0,25,<=50K,Private,Assoc-acdm,Married-spouse-absent,Other-service
31,0,0,25,<=50K,Private,Bachelors,Never-married,Prof-specialty
33,0,0,40,>50K,Private,Bachelors,Married-civ-spouse,Exec-managerial
26,0,0,40,<=50K,Private,HS-grad,Married-civ-spouse,Other-service
33,0,0,40,>50K,Private,Bachelors,Married-civ-spouse,Exec-managerial
46,0,0,30,<=50K,Local-gov,11th,Married-civ-spouse,Transport-moving
59,0,0,40,>50K,Private,Bachelors,Married-civ-spouse,Prof-specialty
38,0,0,40,>50K,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical
65,0,0,40,<=50K,Private,11th,Widowed,Other-service
40,0,0,40,>50K,Private,Assoc-voc,Married-civ-spouse,Tech-support
42,0,0,35,<=50K,Private,HS-grad,Married-civ-spouse,Adm-clerical
26,0,0,40,<=50K,Self-emp-not-inc,9th,Married-civ-spouse,Craft-repair
36,0,0,24,<=50K,Private,10th,Married-civ-spouse,Other-service
62,0,0,40,>50K,Private,Masters,Married-civ-spouse,Prof-specialty
43,0,0,45,<=50K,Private,Bachelors,Married-civ-spouse,Transport-moving
43,0,1564,45,>50K,Private,Bachelors,Divorced,Exec-managerial
22,0,0,55,<=50K,Private,HS-grad,Married-spouse-absent,Sales
28,0,0,40,<=50K,Private,HS-grad,Married-civ-spouse,Craft-repair
56,0,0,45,<=50K,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales
22,0,0,15,<=50K,Private,Assoc-acdm,Never-married,Sales
57,0,0,45,>50K,Private,Bachelors,Divorced,Exec-managerial
39,0,0,40,<=50K,Private,HS-grad,Divorced,Sales
26,0,0,15,<=50K,Federal-gov,Some-college,Never-married,Adm-clerical
17,0,0,10,<=50K,Private,11th,Never-married,Other-service
40,0,0,38,>50K,State-gov,Assoc-voc,Married-civ-spouse,Machine-op-inspct
